parent_comment_id,comment_id,comment_time,comment_user_name,comment_user_link,comment_content,comment_like_num,child_comment_num
,4787647995972811,Mon Jul 04 23:14:55 +0800 2022,一簇星星阿,https://weibo.com//u/5701460961,救命 看着好痛,0,0
,4783135471180215,Wed Jun 22 12:23:45 +0800 2022,星磊歌泉,https://weibo.com//u/3473915932,不行，这牙看着实在是太不舒服了！,0,0
,4746351138835729,Sun Mar 13 00:15:57 +0800 2022,Mia酱紫,https://weibo.com//u/1844641942,<a href=/n/miu匠>@miu匠</a>,0,0
,4751344369406282,Sat Mar 26 18:57:16 +0800 2022,甜甜的西瓜和草莓和蛋糕,https://weibo.com//u/5644568814,<a href=/n/托福朋友>@托福朋友</a> 后面的矫正好牛,0,1
4751344369406282.0,4751362787118130,Sat Mar 26 20:10:27 +0800 2022,托福朋友,https://weibo.com//u/3796465691,奇怪我去了那么多次牙科没人劝我洗牙过,0,0
,4746363240448833,Sun Mar 13 01:04:02 +0800 2022,Day2m1sU-,https://weibo.com//u/6542236686,<a href=/n/大王叫我来巡川->@大王叫我来巡川-</a>,0,0
,4778169409734483,Wed Jun 08 19:30:23 +0800 2022,青年痴阿呆,https://weibo.com//u/6059938677,<a href=/n/是铃铛呀>@是铃铛呀</a> 这口牙真的和我矫正前好像，但是我上边虎牙没那么夸张,0,1
4778169409734483.0,4778189342114414,Wed Jun 08 20:49:35 +0800 2022,是铃铛呀,https://weibo.com//u/5192395159,我的好像没这样把,0,0
,4746901225999716,Mon Mar 14 12:41:48 +0800 2022,夏目与小狐狸_,https://weibo.com//u/7270824990,"疼<img alt=""[单身狗]"" title=""[单身狗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/20/2021_alongdog_org.png"" />",0,1
4746901225999716.0,4746909858139050,Mon Mar 14 13:16:06 +0800 2022,有趣的医学冷知识,https://weibo.com//u/5153557206,"<img alt=""[单身狗]"" title=""[单身狗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/20/2021_alongdog_org.png"" /><img alt=""[单身狗]"" title=""[单身狗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/20/2021_alongdog_org.png"" /><img alt=""[单身狗]"" title=""[单身狗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/20/2021_alongdog_org.png"" />",0,0
,4746701532039492,Sun Mar 13 23:28:16 +0800 2022,景九2021,https://weibo.com//u/7574600522,"oh my goch，only shit<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",0,1
4746701532039492.0,4746817536786606,Mon Mar 14 07:09:14 +0800 2022,有趣的医学冷知识,https://weibo.com//u/5153557206,"<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",0,0
,4745940135315855,Fri Mar 11 21:02:46 +0800 2022,星星落葵,https://weibo.com//u/5900876331,"和我的牙基本一模一样<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",1,1
4745940135315855.0,4745944014788460,Fri Mar 11 21:18:11 +0800 2022,有趣的医学冷知识,https://weibo.com//u/5153557206,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",0,0
,4744817202958768,Tue Mar 08 18:40:38 +0800 2022,datou方与圆,https://weibo.com//u/7205247832,"生活中，咬合关系完全正常的人，并不多，但只要不影响生理健康那种，真的没必要去矫正，其实主要就是看心理能不能接受了（我就是有点嘴突正面看没问题，也不影响生活啥的<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />）",6,4
4744817202958768.0,4744817438098623,Tue Mar 08 18:41:34 +0800 2022,有趣的医学冷知识,https://weibo.com//u/5153557206,"甚至想像一下还很可爱<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",1,0
4744817202958768.0,4744824932796474,Tue Mar 08 19:11:21 +0800 2022,datou方与圆,https://weibo.com//u/7205247832,"回复<a href=/n/有趣的医学冷知识>@有趣的医学冷知识</a>:我评论发不了图诶<img alt=""[打脸]"" title=""[打脸]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2018new_dalian_org.png"" /><img alt=""[打脸]"" title=""[打脸]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2018new_dalian_org.png"" /><img alt=""[打脸]"" title=""[打脸]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2018new_dalian_org.png"" />",0,0
4744817202958768.0,4744819542328068,Tue Mar 08 18:49:56 +0800 2022,有趣的医学冷知识,https://weibo.com//u/5153557206,"回复<a href=/n/datou方与圆>@datou方与圆</a>:评论可以发图，等待ing<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",0,0
4744817202958768.0,4744818586815018,Tue Mar 08 18:46:08 +0800 2022,datou方与圆,https://weibo.com//u/7205247832,"回复<a href=/n/有趣的医学冷知识>@有趣的医学冷知识</a>:最近换新发型了，确实有点樱桃小丸子<img alt=""[春游家族]"" title=""[春游家族]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b6/2021_YoungFamily_org.png"" /><img alt=""[春游家族]"" title=""[春游家族]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b6/2021_YoungFamily_org.png"" /><img alt=""[春游家族]"" title=""[春游家族]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b6/2021_YoungFamily_org.png"" />哈哈哈哈哈哈哈哈哈[玉兔][玉兔][玉兔]",0,0
